name,author,date,press,price,evaluate,introduction
 计算机应用基础 ,谢尊贤, /2008-09-01,西安电子科技大学出版社
 计算机专业英语（高职 杨文元） ,杨文元, /2008-03-01,西安电子科技大学出版社
 计算机文化基础上机实训及案例 ,游鑫, /2007-08-01,西安电子科技大学出版社
 计算机文化（缑水平）（含光盘） ,缑水平, /2008-09-01,西安电子科技大学出版社
 计算机科学概论 第13版 英文版 计算机科学的全景式展现，经典的导论性教材的新版本，全面把握新技术发展趋势，基于Python代码示例，哈佛、麻省理工、普林斯顿等都在采用的经典教材,格伦·布鲁克希尔, /2020-02-01,人民邮电出版社
 计算机公共基础与MS Office 2016高级应用 普通高等教育公共基础课系列教材·计算机类,孙明玉, /2021-02-07,科学出版社
 计算机图形学(第二版) ,张彩明, /2008-10-16,科学出版社
 计算机应用基础（第2版） 计算机应用能力体系培养系列教材；全国高等学校（安徽考区）计算机水平考试配套教材；安徽省高等学校“十三五”省级规划教材；工程应用型院校计算机系列教材,胡学钢, /2020-04-01,安徽大学出版社
 计算机网络技术基础与应用 ,李勤俭, /2019-12-25,科学出版社
 计算机公共基础与MS Office高级应用 ,何鹍, /2019-02-28,科学出版社
 计算机应用基础实验指导与习题集（第四版） ,李欣, /2020-10-01,科学出版社
 计算机辅助工程造价（张向荣） ,张向荣, /2020-09-01,化学工业出版社
 计算机测试与控制技术 ,李行善, /2019-09-01,北京航空航天大学出版社
 计算机网络技术（服务器配置） ,,2015-06-10,科学出版社
 计算机维护与管理实例教程 ,刘志国, /2022-06-01,科学出版社
 计算机应用基础 ,黄志远, /2016-08-01,电子工业出版社
 计算机网络综合实验教程——协议分析与应用（精编版） ,李志远, /2019-06-01,电子工业出版社
 计算机网络（第6版）同步辅导及习题全解（高校经典教材同步辅导丛书） ,段用文, /2014-03-01,水利水电出版社
 计算机组成原理（第二版） ,竺士蒙, /2021-03-08,科学出版社
 计算机应用基础 ,郭永青, /2020-06-01,北京大学医学出版社有限公司
 计算机信息技术 ,刘振湖, /2023-09-01,人民邮电出版社
 计算机网络基础 ,门雅范, /2016-08-25,科学出版社
 计算机常用工具软件入门与应用（第2版）（微课版） 汇聚作者20多年的技术精华，原版畅销书全新升级！一线实操案例、图文详解，实战名师手把手教学。,文杰书院, /2022-12-01,清华大学出版社
 计算机文化基础 ,宋阳, /2020-10-01,科学出版社
 计算机图形学（第四版） ,Donald, /2022-12-01,电子工业出版社
