name,actor,information,date,star,evaluate,introduction
天堂电影院,菲利普·努瓦雷Philipp..., 意大利法国   剧情爱情,1988 ,9.2,684877人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
指环王1：护戒使者,伊利亚·伍德ElijahWood/西恩..., 新西兰美国   剧情动作奇幻冒险,2001 ,9.1,857851人评价,传说的开始。
黑客帝国,无信息, 美国   动作科幻,1999 ,9.1,847313人评价,视觉革命。
教父2,阿尔·帕西诺A..., 美国   剧情犯罪,1974 ,9.3,560383人评价,优雅的孤独。
狮子王,乔纳森·泰勒·托马..., 美国   动画冒险歌舞,1994 ,9.1,853781人评价,动物版《哈姆雷特》。
辩护人,宋康昊Kang-hoSong/金英爱Yeong-ae..., 韩国   剧情,2013 ,9.2,594416人评价,电影的现实意义大过电影本身。
饮食男女,郎雄SihungLung/杨贵媚Kuei-MeiYang/吴..., 中国台湾美国   剧情家庭,1994 ,9.2,629086人评价,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部,爱德华·诺顿EdwardNorton/布拉..., 美国   剧情动作悬疑惊悚,1999 ,9.0,855803人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
本杰明·巴顿奇事,凯特·布兰切特CateBlanchett/..., 美国   剧情爱情奇幻,2008 ,9.0,994731人评价,在时间之河里感受溺水之苦。
美丽心灵,罗素·克劳RussellCrowe/艾德·哈..., 美国   传记剧情,2001 ,9.1,777332人评价,爱是一切逻辑和原由。
穿条纹睡衣的男孩,阿萨·巴特菲尔德AsaButterfield..., 英国美国   剧情战争,2008 ,9.2,573358人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴,无信息, 德国   剧情悬疑,2006 ,9.2,570816人评价,别样人生。
情书,中山美穗MihoNakayama/丰川悦司Ets..., 日本   剧情爱情,1995 ,8.9,1128550人评价,暗恋的极致。
两杆大烟枪,杰森·弗莱明JasonFlemyng/德克斯特..., 英国   剧情喜剧犯罪,1998 ,9.1,601044人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,莫妮卡·贝鲁奇Monica..., 意大利美国   剧情战争情色,2000 ,8.9,986007人评价,美丽无罪。
看不见的客人,马里奥·卡萨斯MarioCasas/阿..., 西班牙   剧情犯罪悬疑惊悚,2016 ,8.8,1286001人评价,你以为你以为的就是你以为的。
音乐之声,朱莉·安德鲁斯JulieAndrews/克..., 美国   剧情传记爱情歌舞,1965 ,9.1,609914人评价,用音乐化解仇恨，让歌声串起美好。
